,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
104,774,19/07/2013 22:12,19/07/2013 22:25,388,W 26 St & 10 Ave,40.74971775,-74.00295035,448,W 37 St & 10 Ave,40.75660359,-73.9979009,18442,Subscriber,1967,2
105,918,19/07/2013 22:29,19/07/2013 22:45,388,W 26 St & 10 Ave,40.74971775,-74.00295035,474,5 Ave & E 29 St,40.7451677,-73.98683077,16820,Subscriber,1988,1
106,1772,19/07/2013 22:39,19/07/2013 23:08,388,W 26 St & 10 Ave,40.74971775,-74.00295035,2008,Little West St & 1 Pl,40.70569254,-74.01677685,15599,Subscriber,1957,1
107,1399,19/07/2013 22:51,19/07/2013 23:14,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17732,Customer,\N,0
108,609,19/07/2013 23:06,19/07/2013 23:16,388,W 26 St & 10 Ave,40.74971775,-74.00295035,479,9 Ave & W 45 St,40.76019252,-73.9912551,20206,Customer,\N,0
109,1136,19/07/2013 23:18,19/07/2013 23:37,388,W 26 St & 10 Ave,40.74971775,-74.00295035,504,1 Ave & E 15 St,40.73221853,-73.98165557,17840,Subscriber,1983,1
110,734,19/07/2013 23:53,20/07/2013 00:05,388,W 26 St & 10 Ave,40.74971775,-74.00295035,453,W 22 St & 8 Ave,40.74475148,-73.99915362,18948,Subscriber,1989,2
111,640,19/07/2013 23:56,20/07/2013 00:07,388,W 26 St & 10 Ave,40.74971775,-74.00295035,518,E 39 St & 2 Ave,40.74780373,-73.9734419,18997,Subscriber,1986,1
112,423,19/07/2013 23:56,20/07/2013 00:03,447,8 Ave & W 52 St,40.76370739,-73.9851615,388,W 26 St & 10 Ave,40.74971775,-74.00295035,15351,Subscriber,1980,1
113,769,20/07/2013 00:09,20/07/2013 00:22,388,W 26 St & 10 Ave,40.74971775,-74.00295035,453,W 22 St & 8 Ave,40.74475148,-73.99915362,15351,Subscriber,1978,2
114,385,20/07/2013 00:11,20/07/2013 00:18,488,W 39 St & 9 Ave,40.75645824,-73.99372222,388,W 26 St & 10 Ave,40.74971775,-74.00295035,15950,Subscriber,1988,1
115,1052,20/07/2013 00:32,20/07/2013 00:50,388,W 26 St & 10 Ave,40.74971775,-74.00295035,146,Hudson St & Reade St,40.71625008,-74.0091059,16085,Subscriber,1983,1
116,789,20/07/2013 00:41,20/07/2013 00:54,388,W 26 St & 10 Ave,40.74971775,-74.00295035,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,19435,Subscriber,1970,1
117,372,20/07/2013 01:04,20/07/2013 01:10,423,W 54 St & 9 Ave,40.76584941,-73.98690506,388,W 26 St & 10 Ave,40.74971775,-74.00295035,19072,Subscriber,1963,1
118,793,20/07/2013 01:10,20/07/2013 01:23,444,Broadway & W 24 St,40.7423543,-73.98915076,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17593,Subscriber,1979,1
119,380,20/07/2013 01:22,20/07/2013 01:28,388,W 26 St & 10 Ave,40.74971775,-74.00295035,423,W 54 St & 9 Ave,40.76584941,-73.98690506,19072,Subscriber,1979,1
